# SYNTHESISED to exercise a lane holding far more calls than the bar drawn
# for it has columns: sixty aws calls of 40ms each, one every three seconds
# from 3s to 180s. None of them overlaps another, so PackLanes puts all
# sixty in ONE lane, and at every width this interface renders at there are
# fewer columns in the bar than there are calls in the lane -- with the
# calls spaced closely enough that every column holds at least one. Drawing
# each column as merely lit or unlit therefore paints the whole lane solid
# while its true occupancy is 40ms in every three seconds, about 1.3%:
# waiting rendered as work, which is the inversion of the one question this
# view exists to answer. The bar's shading is what keeps that visible. The
# line shape is testdata/two-providers.log's "Received downstream response"
# verbatim. The first line is not itself a response: it exists only to
# anchor the scanner's base clock a few seconds before the first real span,
# so that span's start is not clamped to zero by ReportedBuilder (see the
# doc comment on span.Span). Values are invented; no line here is from a
# real run.
2026-09-05T04:00:00.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Configuring provider client @module=sdk.proto
2026-09-05T04:00:03.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0001-4a1b-8c2d-000000000001 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:06.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0002-4a1b-8c2d-000000000002 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:09.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0003-4a1b-8c2d-000000000003 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:12.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0004-4a1b-8c2d-000000000004 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:15.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0005-4a1b-8c2d-000000000005 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:18.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0006-4a1b-8c2d-000000000006 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:21.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0007-4a1b-8c2d-000000000007 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:24.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0008-4a1b-8c2d-000000000008 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:27.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0009-4a1b-8c2d-000000000009 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:30.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0010-4a1b-8c2d-000000000010 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
